PRESIDENCIA MUNICIPAL
02/07/2018 11:45(UTC-5)
ACTAS_ESPERADAS,ACTAS_REGISTRADAS,ACTAS_FUERA_CATALOGO,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CON_INCONSISTENCIAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,TOTAL_VOTOS_C_CS,TOTAL_VOTOS_S_CS,PORCENTAJE_PARTICIPACION_CIUDADANA
2648,2648,0,2648,100.0000,2441,92.1827,21.7145,47,1456583,913470,912031,62.7132

CLAVE_CASILLA,CLAVE_ACTA,ID_ESTADO,ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCION,ID_CASILLA,TIPO_CASILLA,EXT_CONTIGUA,UBICACION_CASILLA,TIPO_ACTA,TOTAL_BOLETAS_SOBRANTES,TOTAL_PERSONAS_VOTARON,TOTAL_REP_PARTIDO_CI_VOTARON,TOTAL_VOTOS_SACADOS,PAN,PRI,PRD,MC,PANAL,PVEM,PES,M,PT,CQ,QI,MORENA_PT_PES,MORENA_PT,MORENA_PES,PT_PES,PRI_PVEM,PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,CAND_IND_1,CAND_IND_2,CAND_IND_3,CAND_IND_4,CAND_IND_5,CAND_IND_6,CAND_IND_7,CAND_IND_8,CAND_IND_9,CAND_IND_10,CAND_IND_11,CAND_IND_12,CAND_IND_13,CAND_IND_14,CAND_IND_15,CAND_IND_16,CAND_IND_17,CAND_IND_18,CAND_IND_19,CAND_IND_20,CAND_IND_21,CAND_IND_22,CAND_IND_23,CAND_IND_24,CAND_IND_25,CAND_IND_26,CAND_IND_27,CAND_IND_28,CAND_IND_29,CAND_IND_30,CAND_IND_31,NO_REGISTRADOS,NULOS,TOTAL_VOTOS_ASENTADO,TOTAL_VOTOS_CALCULADO,LISTA_NOMINAL,REPRESENTANTES_PP_CI,OBSERVACIONES,CONTABILIZADA,MECANISMOS_TRASLADO,SHA,FECHA_HORA_ACOPIO,FECHA_HORA_CAPTURA,FECHA_HORA_VERIFICACION,ORIGEN,DIGITALIZACION,TIPO_DOCUMENTO
"220001B0100","220001B0100",22,"QUERETARO",1,"AMEALCO DE BONFIL","0001",1,"B",00,"URBANA",05,132,415,5,418,147,202,2,,17,8,3,15,2,1,2,1,0,0,0,6,,,,,,-,,,,,,,,-,,,,-,-,,,,,,,,-,-,-,-,,,,,,0,12,418,418,531,21,,1,D,46FE6FD10C719D5078D7530E88949284BCA39A25DC05FEBC22FA39766954181A,01/07/2018 23:19:19,01/07/2018 23:29:05,01/07/2018 23:29:39,CATD,ESCANER,ACTA PREP
"220001C0100","220001C0100",22,"QUERETARO",1,"AMEALCO DE BONFIL","0001",2,"C",00,"URBANA",05,152,396,4,400,184,154,3,,20,1,4,19,2,1,0,Sin dato,Sin dato,Sin dato,Sin dato,5,,,,,,-,,,,,,,,-,,,,-,-,,,,,,,,-,-,-,-,,,,,,Sin dato,7,Sin dato,400,531,21,ALGÃN CAMPO ILEGIBLE O SIN DATO,1,D,F14A261BB5A137739C35387C239B7A8D365D4BFB714ACD5E776D5733E6A5FB93,01/07/2018 22:43:51,01/07/2018 22:52:34,01/07/2018 22:57:17,CATD,ESCANER,ACTA PREP
"220002B0100","220002B0100",22,"QUERETARO",1,"AMEALCO DE BONFIL","0002",3,"B",00,"NO URBANA",05,127,316,9,325,120,166,3,,4,5,1,10,1,0,3,0,0,0,0,3,,,,,,-,,,,,,,,-,,,,-,-,,,,,,,,-,-,-,-,,,,,,2,7,325,325,431,21,,1,D,DFB391E73EDCB53F0E831657EA5E31E90F2CB6880E42EABA3AAFDCFCB8B4C64A,01/07/2018 22:25:20,01/07/2018 22:53:42,01/07/2018 22:54:20,CATD,ESCANER,ACTA PREP
"220002C0100","220002C0100",22,"QUERETARO",1,"AMEALCO DE BONFIL","0002",4,"C",00,"NO URBANA",05,133,312,6,318,106,162,3,,10,9,0,12,0,0,2,2,0,0,0,2,,,,,,-,,,,,,,,-,,,,-,-,,,,,,,,-,-,-,-,,,,,,1,9,318,318,430,21,,1,D,20618EB32124B533B00C6C7E8FFAF3EDEE15EED3481ABB7269256BAE87CF1193,01/07/2018 21:45:22,01/07/2018 21:52:12,01/07/2018 22:00:01,CATD,ESCANER,ACTA PREP
"220003B0100","220003B0100",22,"QUERETARO",1,"AMEALCO DE BONFIL","0003",5,"B",00,"URBANA",05,195,329,2,331,116,160,0,,15,2,0,18,0,3,0,2,4,0,0,2,,,,,,-,,,,,,,,-,,,,-,-,,,,,,,,-,-,-,-,,,,,,0,9,331,331,505,21,,1,D,96FF1B65C2A3967C7465E83E14A8E5CF1811CDC6523EC568BCB389BB2CA0F773,01/07/2018 23:35:31,02/07/2018 00:05:58,02/07/2018 00:07:07,CATD,ESCANER,ACTA PREP
"220003C0100","220003C0100",22,"QUERETARO",1,"AMEALCO DE BONFIL","0003",6,"C",00,"URBANA",05,172,351,3,354,123,169,0,,9,4,3,18,6,0,2,0,0,0,0,5,,,,,,-,,,,,,,,-,,,,-,-,,,,,,,,-,-,-,-,,,,,,0,15,354,354,505,21,,1,D,2D4B2E3DBE7D9ED313EFFFE066EB226E93CD6EEE435CF6CA784E311DBBCE0944,02/07/2018 00:21:38,02/07/2018 01:03:01,02/07/2018 01:12:52,CATD,ESCANER,ACTA PREP
"220003C0200","220003C0200",22,"QUERETARO",1,"AMEALCO DE BONFIL","0003",7,"C",00,"URBANA",05,183,341,1,342,151,135,2,,10,5,0,16,2,2,3,0,1,0,0,1,,,,,,-,,,,,,,,-,,,,-,-,,,,,,,,-,-,-,-,,,,,,0,14,342,342,504,21,,1,D,1C1522C34F4B4DFF4492187A92C4984A5B0F1E03F6B840CECAF919EA53E3D094,02/07/2018 00:19:49,02/07/2018 00:58:54,02/07/2018 01:06:18,CATD,ESCANER,ACTA PREP
"220003S0100","220003S0100",22,"QUERETARO",1,"AMEALCO DE BONFIL","0003",8,"S",00,"URBANA",06,645,0,Sin dato,0,89,23,1,,1,3,0,5,1,0,1,0,0,0,0,1,,,,,,-,,,,,,,,-,,,,-,-,,,,,,,,-,-,-,-,,,,,,0,1,126,126,0,21,,1,D,59AD06AA83F4C6F7283B1252D7D95D41359BA22C2AEBF4218F69825453DFBB43,02/07/2018 01:12:58,02/07/2018 01:36:08,02/07/2018 02:04:10,CATD,ESCANER,ACTA PREP
"220004B0100","220004B0100",22,"QUERETARO",1,"AMEALCO DE BONFIL","0004",9,"B",00,"URBANA",05,209,360,1,361,175,136,2,,10,2,1,16,4,0,2,0,0,0,0,7,,,,,,-,,,,,,,,-,,,,-,-,,,,,,,,-,-,-,-,,,,,,0,6,361,361,549,21,,1,D,46E0113754679FB1B9E222F915E3F13D57D3B52A8C6B6BA50BD6BD5907E81077,01/07/2018 22:09:41,01/07/2018 22:15:56,01/07/2018 22:20:46,CATD,ESCANER,ACTA PREP
"220004C0100","220004C0100",22,"QUERETARO",1,"AMEALCO DE BONFIL","0004",10,"C",00,"URBANA",05,189,381,1,380,137,168,6,,20,2,0,26,3,1,1,3,0,0,0,7,,,,,,-,,,,,,,,-,,,,-,-,,,,,,,,-,-,-,-,,,,,,Sin dato,6,380,380,549,21,ALGÃN CAMPO ILEGIBLE O SIN DATO,1,D,28EC28416A45E82FEAF8602244839D356196575D4FA8B69DC43FD6BBDBB5D7C4,01/07/2018 23:50:52,02/07/2018 00:11:49,02/07/2018 00:13:02,CATD,ESCANER,ACTA PREP
