ID_ESTADO,ID_MUNICIPIO,PARTIDO_CI,CANDIDATURA_PROPIETARIA,CANDIDATURA_SUPLENTE
22,1,PAN,ROSENDO ANAYA AGUILAR,
22,1,PRI,GUSTAVO EFRAIN MENDOZA NAVARRETE,
22,1,PRD,ANSELMA GREGORIO ILDEFONSA,
22,1,NA,LORENA DEL ROCIO GALVAN SANTOS,
22,1,PVEM,GUSTAVO EFRAIN MENDOZA NAVARRETE,
22,1,CQ,KARINA  FLORES ESTRADA,
22,1,QI,LEONEL MARTINEZ VICTORIANO,
22,1,MORENA-PT-PES,FELIX VALDEZ LICEA,
22,2,PAN,MARIA ELENA SUAREZ OLVERA,
22,2,PRI,ILIANA GUADALUPE MONTES RIOS,
22,2,PRD,MARIANO PALACIOS TREJO,
22,2,NA,LORENA RAMIREZ AGUADO,
22,2,PVEM,ILIANA GUADALUPE MONTES RIOS,
22,2,CQ,MARIA GUADALUPE VEGA AGUADO,
22,2,QI,DELIA COLUNGA ESCAMILLA,
22,2,MORENA-PT-PES,OFELIA DEL CASTILLO GUILLEN,
22,2,CAND_5,OSCAR ESTEBAN LUNA OLLERVIDES,
22,3,PAN,LEON ENRIQUE BOLAÑO MENDOZA,
22,3,PRD,LEON ENRIQUE BOLAÑO MENDOZA,
22,3,MC,MA. REINA MONTOYA GONZALEZ,
22,3,NA,NAYLA ANTONIA ANAYA CUELLAR,
22,3,CQ,MA. GUADALUPE GRANADOS ,
22,3,QI,MARIA CELSA AVELINO GARCIA,
22,3,MORENA-PT-PES,ANA MARIA HERNANDEZ MENDOZA,
22,3,PRI-PVEM,CARLOTA LEDESMA LEAL,
22,3,CAND_16,PAULINO VAZQUEZ MORAN,
22,3,CAND_17,ADAN CARBAJAL MENDOZA,
22,4,PAN,JOSE ALEJANDRO OCHOA VALENCIA,
22,4,PRD,KAREN GUADALUPE TORRES PEREZ,
22,4,MC,DAMIAN  EVARISTO VILLASANA,
22,4,NA,JOSE MANUEL MORENO  YAÑEZ,
22,4,PES,MARICRUZ RESENDIZ VEGA,
22,4,MORENA,JOEL PEDRAZA COLIN,
22,4,PT,NORMA GUDIÑO HERNANDEZ,
22,4,CQ,DAVID DE LA VEGA UGALDE,
22,4,QI,MANUEL AGUILLON IBARRA,
22,4,PRI-PVEM,MA. ANTONIETA PUEBLA VEGA,
22,4,CAND_4,LEOPOLDO BARCENAS HERNANDEZ,
22,4,CAND_9,J. ALEJANDRO NIEVES HERNANDEZ,
22,4,CAND_22,JORGE LUIS MORA SANCHEZ,
22,5,PAN,ROBERTO SOSA PICHARDO,
22,5,PRD,ROBERTO SOSA PICHARDO,
22,5,MC,ROBERTO SOSA PICHARDO,
22,5,NA,ANA ZIMRI RESENDIZ PULIDO,
22,5,CQ,BLANCA ROSSINA VILLEGAS PEREZ,
22,5,MORENA-PT-PES,MARIA GABRIELA MORENO MAYORGA,
22,5,PRI-PVEM,RICARDO ASTUDILLO SUAREZ,
22,5,CAND_7,REBECA  MENDOZA HASSEY,
22,5,CAND_11,JAVIER NAVARRETE DE LEON,
22,5,CAND_12,JUAN MANUEL  MORENO  MAYORGA,
22,5,CAND_31,EDGARDO FERNANDEZ MORENO,
22,6,PAN,ENRIQUE VEGA CARRILES,
22,6,PRD,JUAN GABRIEL OLVERA GUTIERREZ,
22,6,MC,ESTRELLA BADA ROSAS,
22,6,NA,SERGIO MARTINEZ GUTIERREZ,
22,6,CQ,NOEMI TRONCOSO JUAREZ,
22,6,QI,J. LUIS ARAGON CHAVEZ,
22,6,MORENA-PT-PES,JORGE ARTURO LOMELI NORIEGA,
22,6,PRI-PVEM,MARIO CALZADA MERCADO,
22,6,CAND_1,JUAN ARISTEO GERARDO RAMIREZ VELAZQUEZ,
22,7,PAN,MAGDA GUADALUPE PEREZ MONTES,
22,7,PRI,GRISELDA PINEDA FEREGRINO,
