ID_ESTADO,ID_DISTRITO_LOCAL,PARTIDO_CI,CANDIDATURA_PROPIETARIA,CANDIDATURA_SUPLENTE
22,1,PAN,ERIC SALAS GONZALEZ,EDUARDO DANIEL LLAMAS ROMO
22,1,PRI,JUAN DE JESUS MACIEL  DELGADO,LUIS MANUEL MALDONADO BELTRAN
22,1,PRD,ERIC SALAS GONZALEZ,EDUARDO DANIEL LLAMAS ROMO
22,1,MC,MARIA DE LOS ANGELES TORRES RAMIREZ,YESSICA RODRIGUEZ HERNANDEZ
22,1,NA,CARLOS MORALES ZAVALA,GIANCARLO VELASCO GONZALEZ
22,1,PVEM,METZLI ESTEFANIA GUADALUPE RIVERA DIAZ,ERIKA AGUILAR RODRIGUEZ
22,1,CQ, LAURA  ALBA HURTADO ,MA. ANTONIA  GUERRERO RAMIREZ
22,1,QI,MARIA CONCEPCION  DE LA VEGA NAVARRO,BRENDA ITZEL GARCIA  OLGUIN
22,1,MORENA-PT-PES,PALOMA ARCE ISLAS,MA. LOURDES RAMOS RIVERA
22,2,PAN,LORENZO MANUEL VELAZQUEZ PEGUEROS,FERNANDO RODRIGUEZ SERRATO
22,2,PRD,LORENZO MANUEL VELAZQUEZ PEGUEROS,FERNANDO  RODRIGUEZ SERRATO
22,2,MC,MARIA EUGENIA VELEZ GUZMAN,GABRIELA MALAGON MARCIAL
22,2,NA,BASILIO VILLEGAS CAMPOS,ANTONIO ADOLFO LOPEZ DIAZ
22,2,CQ,ULISES DIEGO BADILLO,OMAR  SOTO  NIEVES
22,2,QI,MARICARMEN  LOYA COTA,CARLA MERCEDES GARCIA OLGUIN
22,2,MORENA-PT-PES,RICARDO  CABALLERO  GONZALEZ,OSCAR SAMUEL GUTIERREZ ESPARZA
22,2,PRI-PVEM,ROSA MARTHA  PACHECO ANGELES,MARIBEL SANCHEZ CAMACHO
22,3,PAN,TANIA PALACIOS KURI,EMMA GRISELDA  REYES MENDOZA
22,3,PRD,TANIA PALACIOS KURI,EMMA GRISELDA REYES MENDOZA
22,3,MC,TANIA PALACIOS KURI,EMMA GRISELDA  REYES MENDOZA
22,3,NA,CONSUELO BADILLO RESENDIZ,ANDREA ALMANZA TORRES
22,3,CQ,ESTEFANIA CLARIVEL VALLADARES YAÑEZ,SONIA GARCIA DOMINGUEZ
22,3,QI,DANIELA IVONNE VAZQUEZ  ORTIZ,ADRIANA YARIDALIA PUEBLA PADILLA
22,3,MORENA-PT-PES,MAURICIO ALBERTO RUIZ OLAES,FERNANDO JOSE ISLAS BLAS
